"";"PlotID";"Landscape_type_2";"Plot_type_3";"Date.start";"Date.end";"Duration";"Insects";"Ausgangsgewicht";"Ausgangsgewicht_trocken";"dung_wet";"dung_dry";"weight_loss";"weight_loss_percent";"elevation";"average_Temp_DL_exp";"average_Humidity_DL_exp";"average_Temp_DL";"av_prec_exp";"av_temp_exp";"Annual_P_LT";"Annual_T2AVG_LT"
"31";"5838_2_A";"c";"c";"14.05.2019";"13.06.2019";30;"yes";450,2;108,41;211,76;83,56;24,85;22,92;612;15,3;75,67;16,87;43;15,3333333333333;762,0666667;7,268611111
"32";"5838_2_A";"c";"c";"14.05.2019";"13.06.2019";30;"no";450,7;108,53;197,83;77,58;30,95;28,52;612;15,3;75,67;16,87;43;15,3333333333333;762,0666667;7,268611111
"33";"5838_2_F";"c";"a";"14.05.2019";"15.06.2019";32;"yes";450,1;108,38;109,83;81,47;26,91;24,83;675;15,23;71,13;17,17;43,3333333333333;15,0666666666667;778,4666667;7,029444444
"34";"5838_2_F";"c";"a";"14.05.2019";"15.06.2019";32;"no";449,3;108,19;159,42;76,87;31,32;28,95;675;15,23;71,13;17,17;43,3333333333333;15,0666666666667;778,4666667;7,029444444
"35";"5838_2_U";"c";"d";"14.05.2019";"13.06.2019";30;"yes";450,2;108,41;150,67;75,83;32,58;30,05;571;14,79;75,02;15,79;41,3333333333333;15,6333333333333;723;7,521388889
"36";"5838_2_U";"c";"d";"14.05.2019";"13.06.2019";30;"no";450,6;108,5;195,71;77,92;30,58;28,19;571;14,79;75,02;15,79;41,3333333333333;15,6333333333333;723;7,521388889
"37";"5923_3_F";"a";"a";"15.05.2019";"13.06.2019";29;"yes";449,5;108,24;77,54;21,07;87,17;80,53;430;15,57;76,64;17,02;69,6666666666667;15,4666666666667;978,7666667;8,401111111
"38";"5923_3_F";"a";"a";"15.05.2019";"13.06.2019";29;"no";450,2;108,41;56,24;22,05;86,36;79,66;430;15,57;76,64;17,02;69,6666666666667;15,4666666666667;978,7666667;8,401111111
"39";"5923_3_G";"a";"b";"15.05.2019";"13.06.2019";29;"yes";450,5;108,48;298,11;65,19;43,29;39,91;168;16,43;81,07;17,18;57;17,3333333333333;774,8;10,02055556
"40";"5923_3_G";"a";"b";"15.05.2019";"13.06.2019";29;"no";450;108,36;305,6;66,57;41,79;38,57;168;16,43;81,07;17,18;57;17,3333333333333;774,8;10,02055556
"41";"5923_3_U";"a";"d";"15.05.2019";"13.06.2019";29;"yes";449,7;108,29;318,04;81,33;26,96;24,89;224;15,54;78,41;16,73;62,6666666666667;16,6666666666667;882,2;9,479166667
"42";"5923_3_U";"a";"d";"15.05.2019";"13.06.2019";29;"no";450,3;108,43;368,93;81,87;26,56;24,5;224;15,54;78,41;16,73;62,6666666666667;16,6666666666667;882,2;9,479166667
"43";"5924_3_A";"a";"c";"15.05.2019";"13.06.2019";29;"yes";450,8;108,55;317,53;64,74;43,81;40,36;348;16,48;75,41;17,79;60;16,2666666666667;806,1333333;9,085833333
"44";"5924_3_A";"a";"c";"15.05.2019";"13.06.2019";29;"no";450;108,36;339,33;81,18;27,18;25,08;348;16,48;75,41;17,79;60;16,2666666666667;806,1333333;9,085833333
"45";"5924_3_F";"a";"a";"15.05.2019";"13.06.2019";29;"yes";450,4;108,46;120,51;27,39;81,07;74,75;296;15,88;80,1;16,93;58;16,4666666666667;777,0333333;9,305555556
"46";"5924_3_F";"a";"a";"15.05.2019";"13.06.2019";29;"no";449,6;108,26;328,42;79,73;28,53;26,36;296;15,88;80,1;16,93;58;16,4666666666667;777,0333333;9,305555556
"47";"5924_3_U";"a";"d";"15.05.2019";"13.06.2019";29;"yes";450,2;108,41;294,96;76,01;32,4;29,89;182;16,78;74,17;17,74;56,3333333333333;17;699,9333333;9,727777778
"48";"5924_3_U";"a";"d";"15.05.2019";"13.06.2019";29;"no";449,7;108,29;365,38;85,19;23,1;21,33;182;16,78;74,17;17,74;56,3333333333333;17;699,9333333;9,727777778
"49";"5928_2_A";"b";"c";"13.05.2019";"11.06.2019";29;"yes";450;108,36;262,69;111,46;-3,1;-2,86;254;15,37;77,5;17,05;62,6666666666667;17,1333333333333;647,8666667;9,601944444
